"layer_id","layer","feature_id","bioshift_long_cent","bioshift_lat_cent","area_m2","area_km2","calculation_status"
"91","A15_P1",22,18.531858323504,57.5054221419724,3142670194.82888,3142.67019482888,"success"
"91","A15_P1",23,16.676446015398,56.7486368945312,1363381601.196,1363.381601196,"success"
"91","A15_P1",24,14.9064172020778,55.1273060049384,574608299.325941,574.608299325941,"success"
"91","A15_P1",25,11.8277538448442,55.4056748542235,9446732776.96633,9446.73277696633,"success"
"91","A15_P1",26,10.3413306985598,55.3249089728748,3221509101.43806,3221.50910143806,"success"
"91","A15_P1",27,10.6747503953312,54.9097321223242,401480011.451864,401.480011451864,"success"
"91","A15_P1",28,-1.30588642284294,50.6811359847941,403378505.705359,403.378505705359,"success"
"91","A15_P1",29,1.40526434087128,38.9822320484656,572538523.560536,572.538523560536,"success"
"91","A15_P1",30,2.96071105713492,39.6169211239669,3755421852.83514,3755.42185283514,"success"
"91","A15_P1",31,4.06683694287861,39.9668651417516,709565350.606949,709.565350606949,"success"
"91","A15_P1",32,23.7955979242891,38.5588389577913,3675135273.23413,3675.13527323413,"success"
"91","A15_P1",33,24.839952411956,35.2379723597705,8408556856.7227,8408.5568567227,"success"
"92","A150_P1",1,-11.946479162958,47.4994499546245,1896329322672.46,1896329.32267246,"success"
"93","A151_P1",1,137.71349376986,34.6535633252108,9176958197.41718,9176.95819741719,"success"
"93","A151_P1",2,133.396915992154,33.284111497188,3591992902.73941,3591.99290273941,"success"
"93","A151_P1",3,130.72228475522,32.1104196742072,8575556393.63984,8575.55639363984,"success"
"93","A151_P1",4,129.140291381874,32.9578576633465,334247235.88501,334.24723588501,"success"
"93","A151_P1",5,129.642723151238,33.7714405373736,191499722.540465,191.499722540465,"success"
"93","A151_P1",6,129.405247729229,34.3480900220268,505667036.42752,505.66703642752,"success"
"94","A152_P1",1,17.3286922351618,-32.0009240916251,104383869947.883,104383.869947883,"success"
"95","A152_P2",1,13.4593641303075,-23.4966032233199,205707597470.855,205707.597470855,"success"
"96","A152_P3",1,12.3665357357492,-9.99894009869448,145823613012.941,145823.613012941,"success"
"97","A153_P1",1,19.6700900947275,48.8517456754721,37396792249.5549,37396.7922495549,"success"
"98","A154_P1",1,57.3171687549018,23.2070478254168,40402894.6231727,40.4028946231727,"success"
"99","A155_P1",1,26.1970769514045,64.2644104917052,331702507067.094,331702.507067094,"success"
"100","A155_P2",1,20.0665983130275,41.1359332302065,28717535240.9475,28717.5352409475,"success"
"100","A155_P2",2,1.58729448570102,42.5414876627427,469549524.990857,469.549524990857,"success"
"100","A155_P2",3,14.1303672214486,47.597605394903,83954918064.1967,83954.9180641967,"success"
"100","A155_P2",4,4.66613509956636,50.6406135572284,30611595086.3224,30611.5950863224,"success"
"100","A155_P2",5,17.7930602588371,44.1650488430661,51380546615.9782,51380.5466159782,"success"
"100","A155_P2",6,25.2324977688315,42.7666478839029,110959798356.469,110959.798356469,"success"
"100","A155_P2",7,28.0288036102881,53.526648874608,206665880206.581,206665.880206581,"success"
"100","A155_P2",8,16.4189394952517,45.1075993208738,53749915493.99,53749.91549399,"success"
"100","A155_P2",9,15.3437944639721,49.7435071300102,78423860850.6266,78423.8608506266,"success"
"100","A155_P2",10,10.0513570146041,55.9604272446194,41719247064.5471,41719.2470645471,"success"
"100","A155_P2",11,25.5495381376054,58.6733206225766,45125201268.7097,45125.2012687097,"success"
"100","A155_P2",12,-6.91201406635789,62.1691761052009,684392927.172335,684.392927172335,"success"
"100","A155_P2",13,26.1970769514045,64.2644104917052,331702507067.094,331702.507067094,"success"
"100","A155_P2",14,2.57939168886676,46.512286452397,546632315373.096,546632.315373096,"success"
"100","A155_P2",15,10.3748410269887,51.0445154193236,355272510631.047,355272.510631047,"success"
"100","A155_P2",16,22.9112083676319,39.0957326933652,126253679943.409,126253.679943409,"success"
"100","A155_P2",17,19.3965249011346,47.1703368648384,92623772826.6588,92623.7728266588,"success"
"100","A155_P2",18,-18.5893364427893,64.9945568507863,101577231896.147,101577.231896147,"success"
"100","A155_P2",19,-7.90821906158702,53.4052525107125,83088529222.2217,83088.5292222217,"success"
