"species_harmonized","usageKey"
"Limosa fedoa","GBIF:2481684"
"Podothecus accipenserinus","GBIF:2337129"
"Thryothorus ludovicianus","GBIF:2493801"
"Pogonus chalceus","GBIF:5756374"
"Geothlypis trichas","GBIF:2489670"
"Pyrrhia umbra","GBIF:1779641"
"Agrotis segetum","GBIF:1771040"
"Triodia sylvina","GBIF:6097236"
"Ourapteryx sambucaria","GBIF:1958323"
"Charanyca trigrammica","GBIF:1778074"
"Tringa semipalmata","GBIF:5789298"
"Pterapherapteryx sexalata","GBIF:1978114"
"Dryocopus martius","GBIF:2477872"
"Charadrius alexandrinus","GBIF:2480311"
"Polia nebulosa","GBIF:1776330"
"Vireo flavifrons","GBIF:2487453"
"Falco subbuteo","GBIF:2481035"
"Baeolophus inornatus","GBIF:2487905"
"Rumex acetosella","GBIF:2888995"
"Amara aenea","GBIF:1035185"
"Toxostoma rufum","GBIF:9479809"
"Dryobates nuttallii","GBIF:9088491"
"Acanthis flammea","GBIF:5231630"
"Hemitripterus americanus","GBIF:7938309"
"Hippoglossoides platessoides","GBIF:2409104"
"Cyclophora albipunctata","GBIF:5149746"
"Auriparus flaviceps","GBIF:2487397"
"Synodus poeyi","GBIF:5212628"
"Pimephales notatus","GBIF:2367736"
"Calidris temminckii","GBIF:2481740"
"Motacilla cinerea","GBIF:2490310"
"Notropis heterolepis","GBIF:2362139"
"Agrotis cinerea","GBIF:1770869"
"Pieris rapae","GBIF:1920496"
"Somateria spectabilis","GBIF:2498350"
"Sylvia nisoria","GBIF:2492955"
"Pernis apivorus","GBIF:2480420"
"Carpodacus erythrinus","GBIF:2494459"
"Numenius arquata","GBIF:2481792"
"Garrulus glandarius","GBIF:5229493"
"Bombycilla cedrorum","GBIF:2484609"
"Porichthys notatus","GBIF:2350817"
"Nucifraga columbiana","GBIF:2482614"
"Luscinia luscinia","GBIF:2492542"
"Scomber scombrus","GBIF:2374149"
"Icteria virens","GBIF:2489989"
"Thalassarche melanophris","GBIF:2481410"
"Ipimorpha retusa","GBIF:1782615"
"Leistus fulvibarbis","GBIF:4473834"
"Pipilo maculatus","GBIF:9709230"
"Rhizosolenia hebetata","GBIF:5421939"
"Vireo gilvus","GBIF:2487446"
"Hydrelia sylvata","GBIF:5146342"
"Mesoligia furuncula","GBIF:1760104"
"Eupithecia centaureata","GBIF:1983525"
"Euphyia unangulata","GBIF:1965166"
"Turdus iliacus","GBIF:2490781"
"Homarus americanus","GBIF:5972004"
"Melospiza lincolnii","GBIF:2492192"
"Tsuga canadensis","GBIF:2687182"
"Mastocarpus stellatus","GBIF:2667288"
"Salpinctes obsoletus","GBIF:5231483"
"Geothlypis formosa","GBIF:6093586"
"Sicyonia brevirostris","GBIF:2223257"
"Apocheima hispidaria","GBIF:1961068"
"Setophaga townsendi","GBIF:6092651"
